DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Points,Year,RaceNumber,EventName,CircuitName
24,ZHO,Alfa Romeo,14.0,18.0,Hydraulics,0.0,2022,8,Azerbaijan Grand Prix,Baku
16,LEC,Ferrari,1.0,19.0,Power Unit,0.0,2022,8,Azerbaijan Grand Prix,Baku
55,SAI,Ferrari,4.0,20.0,Hydraulics,0.0,2022,8,Azerbaijan Grand Prix,Baku
1,VER,Red Bull Racing,1.0,1.0,Finished,25.0,2022,9,Canadian Grand Prix,Montréal
55,SAI,Ferrari,3.0,2.0,Finished,19.0,2022,9,Canadian Grand Prix,Montréal
44,HAM,Mercedes,4.0,3.0,Finished,15.0,2022,9,Canadian Grand Prix,Montréal
63,RUS,Mercedes,8.0,4.0,Finished,12.0,2022,9,Canadian Grand Prix,Montréal
16,LEC,Ferrari,19.0,5.0,Finished,10.0,2022,9,Canadian Grand Prix,Montréal
31,OCO,Alpine,7.0,6.0,Finished,8.0,2022,9,Canadian Grand Prix,Montréal
77,BOT,Alfa Romeo,11.0,7.0,Finished,6.0,2022,9,Canadian Grand Prix,Montréal
24,ZHO,Alfa Romeo,10.0,8.0,Finished,4.0,2022,9,Canadian Grand Prix,Montréal
14,ALO,Alpine,2.0,9.0,Finished,2.0,2022,9,Canadian Grand Prix,Montréal
18,STR,Aston Martin,17.0,10.0,Finished,1.0,2022,9,Canadian Grand Prix,Montréal
3,RIC,McLaren,9.0,11.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
5,VET,Aston Martin,16.0,12.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
23,ALB,Williams,12.0,13.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
10,GAS,AlphaTauri,15.0,14.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
4,NOR,McLaren,14.0,15.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
6,LAT,Williams,18.0,16.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
20,MAG,Haas F1 Team,5.0,17.0,Finished,0.0,2022,9,Canadian Grand Prix,Montréal
22,TSU,AlphaTauri,20.0,18.0,Accident,0.0,2022,9,Canadian Grand Prix,Montréal
47,MSC,Haas F1 Team,6.0,19.0,Engine,0.0,2022,9,Canadian Grand Prix,Montréal
11,PER,Red Bull Racing,13.0,20.0,Gearbox,0.0,2022,9,Canadian Grand Prix,Montréal
55,SAI,Ferrari,1.0,1.0,Finished,25.0,2022,10,British Grand Prix,Silverstone
11,PER,Red Bull Racing,4.0,2.0,Finished,18.0,2022,10,British Grand Prix,Silverstone
44,HAM,Mercedes,5.0,3.0,Finished,16.0,2022,10,British Grand Prix,Silverstone
16,LEC,Ferrari,3.0,4.0,Finished,12.0,2022,10,British Grand Prix,Silverstone
14,ALO,Alpine,7.0,5.0,Finished,10.0,2022,10,British Grand Prix,Silverstone
4,NOR,McLaren,6.0,6.0,Finished,8.0,2022,10,British Grand Prix,Silverstone
1,VER,Red Bull Racing,2.0,7.0,Finished,6.0,2022,10,British Grand Prix,Silverstone
47,MSC,Haas F1 Team,19.0,8.0,Finished,4.0,2022,10,British Grand Prix,Silverstone
5,VET,Aston Martin,18.0,9.0,Finished,2.0,2022,10,British Grand Prix,Silverstone
20,MAG,Haas F1 Team,17.0,10.0,Finished,1.0,2022,10,British Grand Prix,Silverstone
18,STR,Aston Martin,20.0,11.0,Finished,0.0,2022,10,British Grand Prix,Silverstone
6,LAT,Williams,10.0,12.0,Finished,0.0,2022,10,British Grand Prix,Silverstone
3,RIC,McLaren,14.0,13.0,Finished,0.0,2022,10,British Grand Prix,Silverstone
22,TSU,AlphaTauri,13.0,14.0,Finished,0.0,2022,10,British Grand Prix,Silverstone
31,OCO,Alpine,15.0,15.0,Fuel pump,0.0,2022,10,British Grand Prix,Silverstone
10,GAS,AlphaTauri,11.0,16.0,Collision damage,0.0,2022,10,British Grand Prix,Silverstone
77,BOT,Alfa Romeo,12.0,17.0,Gearbox,0.0,2022,10,British Grand Prix,Silverstone
63,RUS,Mercedes,8.0,18.0,Collision,0.0,2022,10,British Grand Prix,Silverstone
24,ZHO,Alfa Romeo,9.0,19.0,Collision,0.0,2022,10,British Grand Prix,Silverstone
23,ALB,Williams,16.0,20.0,Collision,0.0,2022,10,British Grand Prix,Silverstone
16,LEC,Ferrari,2.0,1.0,Finished,25.0,2022,11,Austrian Grand Prix,Spielberg
1,VER,Red Bull Racing,1.0,2.0,Finished,19.0,2022,11,Austrian Grand Prix,Spielberg
44,HAM,Mercedes,8.0,3.0,Finished,15.0,2022,11,Austrian Grand Prix,Spielberg
63,RUS,Mercedes,4.0,4.0,Finished,12.0,2022,11,Austrian Grand Prix,Spielberg
31,OCO,Alpine,6.0,5.0,Finished,10.0,2022,11,Austrian Grand Prix,Spielberg
47,MSC,Haas F1 Team,9.0,6.0,+1 Lap,8.0,2022,11,Austrian Grand Prix,Spielberg
4,NOR,McLaren,10.0,7.0,+1 Lap,6.0,2022,11,Austrian Grand Prix,Spielberg
20,MAG,Haas F1 Team,7.0,8.0,+1 Lap,4.0,2022,11,Austrian Grand Prix,Spielberg
3,RIC,McLaren,11.0,9.0,+1 Lap,2.0,2022,11,Austrian Grand Prix,Spielberg
14,ALO,Alpine,19.0,10.0,+1 Lap,1.0,2022,11,Austrian Grand Prix,Spielberg
77,BOT,Alfa Romeo,0.0,11.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
23,ALB,Williams,15.0,12.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
18,STR,Aston Martin,12.0,13.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
24,ZHO,Alfa Romeo,13.0,14.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
10,GAS,AlphaTauri,14.0,15.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
22,TSU,AlphaTauri,16.0,16.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
5,VET,Aston Martin,18.0,17.0,+1 Lap,0.0,2022,11,Austrian Grand Prix,Spielberg
55,SAI,Ferrari,3.0,18.0,Power Unit,0.0,2022,11,Austrian Grand Prix,Spielberg
6,LAT,Williams,17.0,19.0,Undertray,0.0,2022,11,Austrian Grand Prix,Spielberg
11,PER,Red Bull Racing,5.0,20.0,Collision damage,0.0,2022,11,Austrian Grand Prix,Spielberg
1,VER,Red Bull Racing,2.0,1.0,Finished,25.0,2022,12,French Grand Prix,Le Castellet
44,HAM,Mercedes,4.0,2.0,Finished,18.0,2022,12,French Grand Prix,Le Castellet
63,RUS,Mercedes,6.0,3.0,Finished,15.0,2022,12,French Grand Prix,Le Castellet
11,PER,Red Bull Racing,3.0,4.0,Finished,12.0,2022,12,French Grand Prix,Le Castellet
55,SAI,Ferrari,19.0,5.0,Finished,11.0,2022,12,French Grand Prix,Le Castellet
14,ALO,Alpine,7.0,6.0,Finished,8.0,2022,12,French Grand Prix,Le Castellet
4,NOR,McLaren,5.0,7.0,Finished,6.0,2022,12,French Grand Prix,Le Castellet
31,OCO,Alpine,10.0,8.0,Finished,4.0,2022,12,French Grand Prix,Le Castellet
3,RIC,McLaren,9.0,9.0,Finished,2.0,2022,12,French Grand Prix,Le Castellet
18,STR,Aston Martin,15.0,10.0,Finished,1.0,2022,12,French Grand Prix,Le Castellet
5,VET,Aston Martin,12.0,11.0,Finished,0.0,2022,12,French Grand Prix,Le Castellet
10,GAS,AlphaTauri,14.0,12.0,Finished,0.0,2022,12,French Grand Prix,Le Castellet
23,ALB,Williams,13.0,13.0,Finished,0.0,2022,12,French Grand Prix,Le Castellet
77,BOT,Alfa Romeo,11.0,14.0,Finished,0.0,2022,12,French Grand Prix,Le Castellet
47,MSC,Haas F1 Team,17.0,15.0,Finished,0.0,2022,12,French Grand Prix,Le Castellet
24,ZHO,Alfa Romeo,16.0,16.0,+6 Laps,0.0,2022,12,French Grand Prix,Le Castellet
6,LAT,Williams,18.0,17.0,Collision damage,0.0,2022,12,French Grand Prix,Le Castellet
20,MAG,Haas F1 Team,20.0,18.0,Collision damage,0.0,2022,12,French Grand Prix,Le Castellet
16,LEC,Ferrari,1.0,19.0,Accident,0.0,2022,12,French Grand Prix,Le Castellet
22,TSU,AlphaTauri,8.0,20.0,Undertray,0.0,2022,12,French Grand Prix,Le Castellet
1,VER,Red Bull Racing,10.0,1.0,Finished,25.0,2022,13,Hungarian Grand Prix,Budapest
44,HAM,Mercedes,7.0,2.0,Finished,19.0,2022,13,Hungarian Grand Prix,Budapest
63,RUS,Mercedes,1.0,3.0,Finished,15.0,2022,13,Hungarian Grand Prix,Budapest
55,SAI,Ferrari,2.0,4.0,Finished,12.0,2022,13,Hungarian Grand Prix,Budapest
11,PER,Red Bull Racing,11.0,5.0,Finished,10.0,2022,13,Hungarian Grand Prix,Budapest
16,LEC,Ferrari,3.0,6.0,Finished,8.0,2022,13,Hungarian Grand Prix,Budapest
4,NOR,McLaren,4.0,7.0,Finished,6.0,2022,13,Hungarian Grand Prix,Budapest
14,ALO,Alpine,6.0,8.0,+1 Lap,4.0,2022,13,Hungarian Grand Prix,Budapest
31,OCO,Alpine,5.0,9.0,+1 Lap,2.0,2022,13,Hungarian Grand Prix,Budapest
5,VET,Aston Martin,18.0,10.0,+1 Lap,1.0,2022,13,Hungarian Grand Prix,Budapest
18,STR,Aston Martin,14.0,11.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
10,GAS,AlphaTauri,0.0,12.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
24,ZHO,Alfa Romeo,12.0,13.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
47,MSC,Haas F1 Team,15.0,14.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
3,RIC,McLaren,9.0,15.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
20,MAG,Haas F1 Team,13.0,16.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
23,ALB,Williams,17.0,17.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
6,LAT,Williams,19.0,18.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix,Budapest
22,TSU,AlphaTauri,16.0,19.0,+2 Laps,0.0,2022,13,Hungarian Grand Prix,Budapest
77,BOT,Alfa Romeo,8.0,20.0,Power Unit,0.0,2022,13,Hungarian Grand Prix,Budapest
1,VER,Red Bull Racing,14.0,1.0,Finished,26.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
11,PER,Red Bull Racing,2.0,2.0,Finished,18.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
55,SAI,Ferrari,1.0,3.0,Finished,15.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
63,RUS,Mercedes,5.0,4.0,Finished,12.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
14,ALO,Alpine,3.0,5.0,Finished,10.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
16,LEC,Ferrari,15.0,6.0,Finished,8.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
31,OCO,Alpine,16.0,7.0,Finished,6.0,2022,14,Belgian Grand Prix,Spa-Francorchamps
